Date(UTC),"OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
2022-10-01 13:15:40,"59273243092","ETHBUSD","Limit","SELL","1330.0000000000","0.0705000000ETH","2022-10-03 18:06:56","0.0705000000ETH","1330.00000000","93.7650000000BUSD","FILLED"
2022-10-01 13:13:33,"2215021875","ICPBUSD","Limit","SELL","6.1200000000","7.7000000000ICP","2022-10-01 13:15:42","7.7000000000ICP","6.12000000","47.1240000000BUSD","FILLED"
2022-08-18 14:09:38,"54070622716","ETHBUSD","Limit","BUY","1700.0000000000","0.0705000000ETH","2022-08-19 11:33:02","0.0705000000ETH","1700.00000000","119.8500000000BUSD","FILLED"
2022-07-23 12:05:04,"2040429025","COMPBUSD","Limit","SELL","55.0000000000","2.0000000000COMP","2022-07-23 13:03:45","2.0000000000COMP","55.00000000","110.0000000000BUSD","FILLED"
2022-07-22 09:36:04,"2036526992","COMPBUSD","Limit","SELL","62.0000000000","2.0000000000COMP","2022-07-23 12:04:49","0.0000000000COMP","0E-8","0.0000000000BUSD","CANCELED"
2022-07-19 19:17:22,"202667998","COMPBUSD","Limit","SELL","100.0000000000","2.0000000000COMP","2022-07-22 09:35:54","0.0000000000COMP","0E-8","0.0000000000BUSD","CANCELED"
2022-07-19 19:15:27,"202667323","COMPBUSD","Limit","BUY","61.6000000000","2.0000000000COMP","2022-07-19 19:15:27","2.0000000000COMP","61.60000000","123.2000000000BUSD","FILLED"
2022-07-19 11:47:55,"202452149","COMPBUSD","Limit","BUY","60.0000000000","2.0000000000COMP","2022-07-19 19:15:13","0.0000000000COMP","0E-8","0.0000000000BUSD","CANCELED"
2022-07-19 11:42:37,"286387482","ZILBUSD","Limit","BUY","0.0435700000","1147.5000000000ZIL","2022-07-19 11:42:38","1147.5000000000ZIL","0.04357000","49.9965750000BUSD","FILLED"
2022-07-18 09:47:19,"5424118924","BTCBUSD","Limit","SELL","22300.0000000000","0.0058300000BTC","2022-07-18 10:26:17","0.0058300000BTC","22300.00000000","130.0090000000BUSD","FILLED"
2022-06-19 12:51:03,"5177283661","BTCBUSD","Limit","SELL","22500.0000000000","0.0052000000BTC","2022-07-08 01:28:29","0.0052000000BTC","22500.00000000","117.0000000000BUSD","FILLED"
2022-06-19 12:50:34,"51772580423","BTCBUSD","Limit","SELL","22500.0000000000","0.0025000000BTC","2022-06-19 12:50:52","0.0000000000BTC","0E-8","0.0000000000BUSD","CANCELED"
2022-06-19 12:49:59,"51772576326","BTCBUSD","Limit","BUY","19200.0000000000","0.0052000000BTC","2022-06-19 13:58:55","0.0052000000BTC","19200.00000000","99.8400000000BUSD","FILLED"
2022-06-15 09:30:11,"5130860351","BTCBUSD","Limit","BUY","20000.0000000000","0.0025000000BTC","2022-06-18 06:51:21","0.0025000000BTC","20000.00000000","50.0000000000BUSD","FILLED"
2022-06-13 11:43:33,"48426530187","ETHBUSD","Limit","BUY","1000.0000000000","0.0500000000ETH","2022-06-15 09:30:01","0.0000000000ETH","0E-8","0.0000000000BUSD","CANCELED"
2022-05-28 16:31:46,"2743656235","SUSHIBUSD","Limit","BUY","1.0000000000","10.0000000000SUSHI","2022-06-13 07:37:58","10.0000000000SUSHI","1.00000000","10.0000000000BUSD","FILLED"
2022-05-13 06:27:00,"637893583","LUNABUSD","Limit","BUY","0.0000662200","151011.7800000000LUNA","2022-05-13 06:27:00","151011.7800000000LUNA","0.00006289","9.4970855900BUSD","FILLED"
2022-05-12 11:38:07,"627539608","LUNABUSD","Limit","BUY","0.0150000000","666.6700000000LUNA","2022-05-12 13:30:59","666.6700000000LUNA","0.01500000","10.0000500000BUSD","FILLED"
2022-05-11 21:52:59,"61976055429","LUNABUSD","Limit","BUY","1.0000000000","50.0000000000LUNA","2022-05-12 01:55:29","50.0000000000LUNA","1.00000000","50.0000000000BUSD","FILLED"
2022-05-11 21:52:15,"619700064","LUNABUSD","Limit","SELL","5.0000000000","20.0000000000LUNA","2022-05-11 21:52:15","0.0000000000LUNA","0E-8","0.0000000000BUSD","UNKNOWN_STATUS"
2022-05-11 07:28:50,"610337668","LUNABUSD","Limit","BUY","5.0000000000","20.0000000000LUNA","2022-05-11 07:28:58","20.0000000000LUNA","5.00000000","100.0000000000BUSD","FILLED"
